w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,1,1,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,1,2,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,1,4,2,2,1,1,1,1,float,6,IMPLICIT_PRECOMP_GEMM,0.0
16,16,1,1,8,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,1,16,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,1,32,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,1,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,1,2,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,2,2,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,2,4,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,2,8,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,2,16,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,1,2,32,2,2,1,1,1,1,float,12,GEMM,0.0
16,16,1,2,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,1,4,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,4,2,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,4,4,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,1,4,8,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,4,16,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,1,4,32,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,1,4,64,2,2,1,1,1,1,float,12,GEMM,0.0
16,16,1,8,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,1,8,2,2,2,1,1,1,1,float,7,IMPLICIT_PRECOMP_GEMM,0.0
16,16,1,8,4,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,1,8,8,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,1,8,16,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,1,8,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,1,8,64,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,1,16,1,2,2,1,1,1,1,float,6,IMPLICIT_GEMM,0.0
